5b0f56,::1,GET,http://localhost:9269/,1442092673,,200
ff20e5,::1,GET,http://localhost:9269/css/main.css,1442092673,,404
ccbae7,::1,GET,http://localhost:9269/,1442092866,,200
054dc0,::1,GET,http://localhost:9269/css/main.css,1442092866,,404
4bfd0b,::1,GET,http://localhost:9269/,1442094528,,200
2fdc97,::1,GET,http://localhost:9269/css/main.css,1442094528,,404
6d28bb,::1,GET,http://localhost:9269/,1442160454,,200
000c78,::1,GET,http://localhost:9269/css/main.css,1442160454,,404
4fb476,::1,GET,http://localhost:9269/,1442160766,,200
a1793a,::1,GET,http://localhost:9269/css/main.css,1442160766,,404
dbe702,::1,GET,http://localhost:9269/greet/Robery,1442160771,,200
5e7eee,::1,GET,http://localhost:9269/css/main.css,1442160771,,404
65f884,::1,GET,http://localhost:9269/greet/,1442160818,,404
80fa28,::1,GET,http://localhost:9269/,1442160858,,200
bedb43,::1,GET,http://localhost:9269/css/main.css,1442160858,,404
e76d54,::1,GET,http://localhost:9269/profile,1442160951,,302
a45428,::1,GET,http://localhost:9269/,1442160951,,200
136559,::1,GET,http://localhost:9269/css/main.css,1442160951,,404
a8efa2,::1,GET,http://localhost:9269/,1442164104,,500
586de9,::1,GET,http://localhost:9269/,1442164104,,500
21d7a6,::1,GET,http://localhost:9269/,1442164133,,500
8a135f,::1,GET,http://localhost:9269/,1442164134,,500
6ab6f2,::1,GET,http://localhost:9269/,1442164161,,200
f7fe0f,::1,GET,http://localhost:9269/css/main.css,1442164161,,404
642283,::1,GET,http://localhost:9269/,1442164177,,200
ceb679,::1,GET,http://localhost:9269/css/main.css,1442164177,,404
7a65cb,::1,GET,http://localhost:9269/profile,1442164355,,302
879381,::1,GET,http://localhost:9269/,1442164355,,200
3f7e76,::1,GET,http://localhost:9269/css/main.css,1442164355,,404
36a968,::1,GET,http://localhost:9269/profile/hacktor,1442164360,,500
995a05,::1,GET,http://localhost:9269/profile/hacktor,1442164379,,500
429ebf,::1,GET,http://localhost:9269/profile/hacktor,1442164391,,500
4234c4,::1,GET,http://localhost:9269/profile/hacktor,1442164404,,500
8e0626,::1,GET,http://localhost:9269/profile/hacktor,1442164486,,200
ae0670,::1,GET,http://localhost:9269/css/main.css,1442164486,,404
dbf8b4,::1,GET,http://localhost:9269/profile/hacktor,1442165721,,500
bb46f7,::1,GET,http://localhost:9269/profile/hacktor,1442165987,,500
a26e6e,::1,GET,http://localhost:9269/profile/hacktor,1442166003,,500
bb2d80,::1,GET,http://localhost:9269/profile/hacktor,1442166112,,500
753440,::1,GET,http://localhost:9269/profile/hacktor,1442166112,,500
7a90d4,::1,GET,http://localhost:9269/profile/hacktor,1442166126,,200
d240da,::1,GET,http://localhost:9269/css/main.css,1442166126,,404
845f9c,::1,GET,http://localhost:9269/,1442166359,,200
1d6082,::1,GET,http://localhost:9269/css/main.css,1442166360,,404
d826c4,::1,GET,http://localhost:9269/server,1442166427,,200
78f92e,::1,GET,http://localhost:9269/server,1442166503,,500
515fba,::1,GET,http://localhost:9269/server,1442166517,,200
aa902f,::1,GET,http://localhost:9269/css/main.css,1442166517,,404
3b3c43,::1,GET,http://localhost:9269/,1442170389,,500
a22c84,::1,GET,http://localhost:9269/,1442170534,,500
